"species","sci_name","GenLength"
"White-faced Ibis","Plegadis chihi",5.140344254
"White-headed Woodpecker","Dryobates albolarvatus",2.593478519
"White-rumped Sandpiper","Calidris fuscicollis",3.609445038
"White-tailed Kite","Elanus leucurus",4.286761197
"White-throated Sparrow","Zonotrichia albicollis",2.978161552
"White-throated Swift","Aeronautes saxatalis",2.447301252
"White-winged Crossbill","Loxia leucoptera",1.999659757
"White-winged Dove","Zenaida asiatica",4.063751857
"White-winged Scoter","Melanitta fusca",5.778288318
"White Ibis","Eudocimus albus",6.506976058
"Wild Turkey","Meleagris gallopavo",4.689787737
"Willet","Tringa semipalmata",5.541358723
"Williamson's Sapsucker","Sphyrapicus thyroideus",1.942203555
"Willow Flycatcher","Empidonax traillii",2.442111367
"Willow Ptarmigan","Lagopus lagopus",2.332812222
"Wilson's Phalarope","Phalaropus tricolor",3.18429541
"Wilson's Plover","Charadrius wilsonia",3.796131561
"Wilson's Snipe","Gallinago delicata",2.606551743
"Wilson's Warbler","Cardellina pusilla",2.125301481
"Winter Wren","Troglodytes hiemalis",1.781788398
"Wood Duck","Aix sponsa",4.056081918
"Wood Stork","Mycteria americana",8.840286446
"Wood Thrush","Hylocichla mustelina",2.404420008
"Woodhouse's Scrub-Jay","Aphelocoma woodhouseii",5.175549526
"Worm-eating Warbler","Helmitheros vermivorum",2.264556536
"Wrentit","Chamaea fasciata",2.764946534
"Yellow-bellied Flycatcher","Empidonax flaviventris",1.993268327
"Yellow-bellied Sapsucker","Sphyrapicus varius",2.039788041
"Yellow-billed Cuckoo","Coccyzus americanus",2.532871766
"Yellow-billed Loon","Gavia adamsii",11.08256021
"Yellow-billed Magpie","Pica nuttalli",3.408051597
"Yellow-breasted Chat","Icteria virens",2.241553184
"Yellow-crowned Night-Heron","Nyctanassa violacea",4.640267872
"Yellow-headed Blackbird","Xanthocephalus xanthocephalus",3.029981906
